CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
162	12740	Barre, VT Micro Area	2	1778229393	21169489	686.578	8.174	44.274969	-72.609444                                                                                                                 
538	12780	Bartlesville, OK Micro Area	2	1076201527	22871165	415.524	8.831	36.704403	-95.906253                                                                                                          
464	12860	Batavia, NY Micro Area	2	1276705561	6137411	492.939	2.37	43.00091	-78.192778                                                                                                                  
310	12980	Battle Creek, MI Metro Area	1	1829210172	31256789	706.262	12.068	42.24299	-85.012385                                                                                                          
474	13020	Bay City, MI Metro Area	1	1145830342	487717966	442.408	188.309	43.699711	-83.978701                                                                                                           
288	13060	Bay City, TX Micro Area	2	2830645444	1345742564	1092.918	519.594	28.77476	-96.001532                                                                                                          
339	13100	Beatrice, NE Micro Area	2	2205273758	22012188	851.461	8.499	40.255234	-96.683453                                                                                                              
376	13180	Beaver Dam, WI Micro Area	2	2268049732	81331401	875.699	31.402	43.429628	-88.701939                                                                                                           
144	13260	Bedford, IN Micro Area	2	1163282503	7207557	449.146	2.783	38.839815	-86.48782                                                                                                                 
198	13340	Bellefontaine, OH Micro Area	2	1187523861	21593253	458.506	8.337	40.387553	-83.766343                                                                                                         
140	13460	Bend, OR Metro Area	1	7815593157	94707741	3017.618	36.567	43.915118	-121.225575                                                                                                               
266	13660	Big Rapids, MI Micro Area	2	1437843578	41665709	555.155	16.087	43.635295	-85.332751                                                                                                           
142	13820	Birmingham-Hoover, AL Metro Area	1	11625777671	196427036	4488.738	75.841	33.402599	-86.729515                                                                                                 
292	13940	Blackfoot, ID Micro Area	2	5422741967	68632371	2093.732	26.499	43.216357	-112.399206                                                                                                          
145	14010	Bloomington, IL Metro Area	1	3064597287	7804856	1183.248	3.013	40.494559	-88.844539                                                                                                           
144	14020	Bloomington, IN Metro Area	1	2019716019	50079576	779.817	19.336	39.241736	-86.671754                                                                                                          
146	14100	Bloomsburg-Berwick, PA Metro Area	1	1588834561	24008846	613.452	9.27	41.040404	-76.461654                                                                                                     
258	14160	Bluffton, IN Micro Area	2	953341275	5596377	368.087	2.161	40.735273	-85.212974                                                                                                                
406	14220	Bogalusa, LA Micro Area	2	1734352072	16140411	669.637	6.232	30.852144	-90.046253                                                                                                              
147	14260	Boise City, ID Metro Area	1	30475336856	171002880	11766.594	66.025	43.006648	-116.141909                                                                                                      
206	14300	Bonham, TX Micro Area	2	2307251052	20847065	890.835	8.049	33.591161	-96.104988                                                                                                                
108	14420	Borger, TX Micro Area	2	2298408153	19507502	887.42	7.532	35.837047	-101.362746                                                                                                                
148	14460	Boston-Cambridge-Newton, MA-NH Metro Area	1	9028959710	2654816872	3486.101	1025.031	42.517606	-71.021993                                                                                      
216	14500	Boulder, CO Metro Area	1	1881324131	36486613	726.383	14.088	40.094962	-105.397704                                                                                                             
150	14540	Bowling Green, KY Metro Area	1	4182918464	61829014	1615.034	23.872	37.046804	-86.397398                                                                                                       
500	14740	Bremerton-Silverdale-Port Orchard, WA Metro Area	1	1023308791	442187072	395.102	170.729	47.639595	-122.649634                                                                                 
288	14780	Brenham, TX Micro Area	2	1564855485	45471320	604.194	17.557	30.215075	-96.410272                                                                                                              
120	14820	Brevard, NC Micro Area	2	979943597	5091023	378.358	1.966	35.210103	-82.816666                                                                                                                 
408	14860	Bridgeport-Stamford-Norwalk, CT Metro Area	1	1618664029	549280913	624.97	212.079	41.227413	-73.367061                                                                                         
298	15020	Brookhaven, MS Micro Area	2	1518269755	5291052	586.207	2.043	31.535216	-90.453566                                                                                                             
297	15140	Brownsville, TN Micro Area	2	1380741528	2472509	533.107	0.955	35.586678	-89.282691                                                                                                            
154	15180	Brownsville-Harlingen, TX Metro Area	1	2309519001	996418659	891.71	384.719	26.102923	-97.478958                                                                                               
360	15340	Bucyrus-Galion, OH Micro Area	2	1040619652	2359514	401.786	0.911	40.848524	-82.924783                                                                                                         
160	15380	Buffalo-Cheektowaga, NY Metro Area	1	4053548068	2075721485	1565.084	801.441	43.044371	-78.777335                                                                                              
161	15460	Burlington, IA-IL Micro Area	2	2058837171	77908726	794.922	30.081	40.863823	-91.069976                                                                                                        
268	15500	Burlington, NC Metro Area	1	1096735775	27940817	423.452	10.788	36.043954	-79.400573                                                                                                           
162	15540	Burlington-South Burlington, VT Metro Area	1	3236782446	656637313	1249.729	253.529	44.689117	-73.041171                                                                                       
174	15660	Calhoun, GA Micro Area	2	923182601	5729235	356.443	2.212	34.509667	-84.873862                                                                                                                 
548	15680	California-Lexington Park, MD Metro Area	1	928809939	1050592561	358.616	405.636	38.223077	-76.534487                                                                                          
480	15700	Cambridge, MD Micro Area	2	1400573746	1145353068	540.765	442.223	38.429196	-76.047433                                                                                                         
198	15740	Cambridge, OH Micro Area	2	1352631217	15666081	522.254	6.049	40.056665	-81.497875                                                                                                             
444	15860	Cañon City, CO Micro Area	2	3972705319	2235542	1533.87	0.863	38.45517	-105.424958                                                                                                             
184	15940	Canton-Massillon, OH Metro Area	1	2511970922	24829507	969.877	9.587	40.711051	-81.261468                                                                                                      
163	15980	Cape Coral-Fort Myers, FL Metro Area	1	2022803068	1900583561	781.009	733.819	26.563273	-81.984182                                                                                             
164	16020	Cape Girardeau, MO-IL Metro Area	1	3708383558	73454289	1431.815	28.361	37.325936	-89.762639                                                                                                   
456	16180	Carson City, NV Metro Area	1	374341372	32594082	144.534	12.585	39.15306	-119.747368                                                                                                           
168	16300	Cedar Rapids, IA Metro Area	1	5202714116	29350978	2008.779	11.332	42.086289	-91.631095                                                                                                        
122	16340	Cedartown, GA Micro Area	2	803767094	4673256	310.336	1.804	33.996015	-85.188338                                                                                                               
338	16380	Celina, OH Micro Area	2	1197732211	28431995	462.447	10.978	40.535333	-84.632059                                                                                                               
476	16460	Centralia, IL Micro Area	2	1482865616	9234118	572.538	3.565	38.648236	-88.920362                                                                                                              
500	16500	Centralia, WA Micro Area	2	6223175362	86929744	2402.782	33.564	46.580071	-122.377444                                                                                                          
548	16540	Chambersburg-Waynesboro, PA Metro Area	1	2000245527	1547615	772.299	0.598	39.926772	-77.724521                                                                                                
170	16620	Charleston, WV Metro Area	1	6854592354	56066247	2646.573	21.647	38.355177	-81.620341                                                                                                          
172	16740	Charlotte-Concord-Gastonia, NC-SC Metro Area	1	14497232415	301832867	5597.413	116.538	35.166342	-80.797285                                                                                    
174	16860	Chattanooga, TN-GA Metro Area	1	5409949983	126699774	2088.793	48.919	35.049361	-85.361158                                                                                                     
176	16980	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	1	18634398951	6173868295	7194.782	2383.744	41.823521	-87.828297                                                                                 
198	17060	Chillicothe, OH Micro Area	2	1784931094	9994410	689.166	3.859	39.323895	-83.059538                                                                                                            
178	17140	Cincinnati, OH-KY-IN Metro Area	1	11775246804	218907029	4546.448	84.52	39.100546	-84.479533                                                                                                   
185	17380	Cleveland, MS Micro Area	2	2270141682	81446732	876.507	31.447	33.799139	-90.88412                                                                                                             
174	17420	Cleveland, TN Metro Area	1	1977111861	26866020	763.367	10.373	35.138117	-84.655079                                                                                                            
184	17460	Cleveland-Elyria, OH Metro Area	1	5176805788	5128428315	1998.776	1980.097	41.555037	-81.604957                                                                                                
163	17500	Clewiston, FL Micro Area	2	2993896403	86578552	1155.95	33.428	26.539967	-81.152114                                                                                                            
209	17540	Clinton, IA Micro Area	2	1799934696	39410955	694.959	15.217	41.898073	-90.534243                                                                                                              
188	17580	Clovis, NM Micro Area	2	3640295680	7992977	1405.526	3.086	34.572984	-103.346055                                                                                                               
434	17620	Coamo, PR Micro Area	2	202052321	38061	78.013	0.015	18.1038	-66.357586                                                                                                                        
490	17640	Coco, PR Micro Area	2	179755401	115816412	69.404	44.717	17.971485	-66.262252                                                                                                                  
518	17660	Coeur d'Alene, ID Metro Area	1	3205833858	184447536	1237.779	71.216	47.675957	-116.695919                                                                                                     
310	17740	Coldwater, MI Micro Area	2	1311597696	34428004	506.411	13.293	41.918455	-85.066885                                                                                                            
190	17860	Columbia, MO Metro Area	1	4439510648	45548673	1714.105	17.586	38.986486	-92.585189                                                                                                            
192	17900	Columbia, SC Metro Area	1	9590883167	338706020	3703.061	130.775	34.077585	-81.037845                                                                                                          
194	17980	Columbus, GA-AL Metro Area	1	7215862921	82405160	2786.06	31.817	32.419377	-84.843709                                                                                                          
294	18020	Columbus, IN Metro Area	1	1053968848	6715105	406.94	2.593	39.205843	-85.897999                                                                                                                
200	18060	Columbus, MS Micro Area	2	1309092529	28545194	505.443	11.021	33.471424	-88.439723                                                                                                             
198	18140	Columbus, OH Metro Area	1	12423069750	139133538	4796.574	53.72	39.968562	-82.835911                                                                                                           
148	18180	Concord, NH Micro Area	2	2416197730	57178203	932.899	22.077	43.299579	-71.680041                                                                                                              
458	18220	Connersville, IN Micro Area	2	556901577	366408	215.021	0.141	39.639655	-85.185032                                                                                                             
539	18420	Corinth, MS Micro Area	2	1036110409	3408033	400.044	1.316	34.886569	-88.581109                                                                                                                
122	18460	Cornelia, GA Micro Area	2	717083984	5669790	276.868	2.189	34.634392	-83.525875                                                                                                                
236	18500	Corning, NY Micro Area	2	3601398422	35039875	1390.508	13.529	42.266725	-77.385525                                                                                                             
204	18580	Corpus Christi, TX Metro Area	1	3969160234	882893802	1532.501	340.887	27.833597	-97.508958                                                                                                    
206	18620	Corsicana, TX Micro Area	2	2615116305	197615409	1009.702	76.3	32.048448	-96.476909                                                                                                            
296	18660	Cortland, NY Micro Area	2	1291817953	7110638	498.774	2.745	42.594039	-76.07624                                                                                                                
440	18700	Corvallis, OR Metro Area	1	1748712468	7740248	675.182	2.989	44.493882	-123.424664                                                                                                             
525	18780	Craig, CO Micro Area	2	12284943821	19803411	4743.244	7.646	40.610864	-108.217154                                                                                                              
294	18820	Crawfordsville, IN Micro Area	2	1307030255	2067987	504.647	0.798	40.040296	-86.892715                                                                                                         
142	18980	Cullman, AL Micro Area	2	1902962812	52533095	734.738	20.283	34.131923	-86.869267                                                                                                              
206	19100	Dallas-Fort Worth-Arlington, TX Metro Area	1	22468532490	859993009	8675.149	332.045	32.849171	-96.970489                                                                                      
174	19140	Dalton, GA Metro Area	1	1644483808	7298675	634.939	2.818	34.796956	-84.856279                                                                                                                 
380	19300	Daphne-Fairhope-Foley, AL Metro Area	1	4117656199	1132956041	1589.836	437.437	30.659218	-87.746067                                                                                            
209	19340	Davenport-Moline-Rock Island, IA-IL Metro Area	1	5878996927	114047038	2269.894	44.034	41.39168	-90.460076                                                                                     
174	19420	Dayton, TN Micro Area	2	817071273	54409427	315.473	21.008	35.60059	-84.949548                                                                                                                 
212	19430	Dayton-Kettering, OH Metro Area	1	3318889605	22221073	1281.43	8.58	39.829746	-84.140992                                                                                                       
290	19460	Decatur, AL Metro Area	1	3290201795	118878930	1270.354	45.899	34.489361	-87.097147                                                                                                            
258	19540	Decatur, IN Micro Area	2	877815496	2693924	338.926	1.04	40.745733	-84.93613                                                                                                                   
422	19660	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	1	4111640078	1076794716	1587.513	415.753	29.1789	-81.189023                                                                                 
216	19740	Denver-Aurora-Lakewood, CO Metro Area	1	21612689146	149327689	8344.706	57.656	39.434789	-104.901073                                                                                           
217	19760	DeRidder, LA Micro Area	2	2997852789	21944259	1157.477	8.473	30.645018	-93.340253                                                                                                             
218	19780	Des Moines-West Des Moines, IA Metro Area	1	9355995538	83631550	3612.37	32.29	41.57705	-93.759712                                                                                             
220	19820	Detroit-Warren-Dearborn, MI Metro Area	1	10080843762	889464901	3892.236	343.424	42.721848	-83.200846                                                                                          
221	19940	Dixon, IL Micro Area	2	1877189070	9732924	724.787	3.758	41.747447	-89.299362                                                                                                                  
222	20020	Dothan, AL Metro Area	1	4444610313	33316633	1716.074	12.864	31.245528	-85.46919                                                                                                               
428	20100	Dover, DE Metro Area	1	1517891095	549776917	586.061	212.27	39.097088	-75.502982                                                                                                               
524	20180	DuBois, PA Micro Area	2	2966379119	23934013	1145.325	9.241	41.006862	-78.477724                                                                                                               
206	20460	Durant, OK Micro Area	2	2342004162	102054905	904.253	39.404	33.964004	-96.265135                                                                                                              
450	20500	Durham-Chapel Hill, NC Metro Area	1	5931314685	154463844	2290.094	59.639	36.060589	-78.989787                                                                                                 
548	20660	Easton, MD Micro Area	2	695561637	539363457	268.558	208.249	38.748349	-76.178476                                                                                                              
408	20700	East Stroudsburg, PA Metro Area	1	1575636945	22673964	608.357	8.754	41.05624	-75.329065                                                                                                       
232	20740	Eau Claire, WI Metro Area	1	4263839734	104081854	1646.278	40.186	44.938672	-91.284322                                                                                                         
233	20780	Edwards, CO Micro Area	2	4362754513	18970351	1684.469	7.324	39.626992	-106.695169                                                                                                             
288	20900	El Campo, TX Micro Area	2	2813095080	21310003	1086.142	8.228	29.27848	-96.229674                                                                                                              
545	21020	Elizabeth City, NC Micro Area	2	1227796451	373494339	474.055	144.207	36.197118	-76.34244                                                                                                      
350	21060	Elizabethtown-Fort Knox, KY Metro Area	1	3083099345	71933270	1190.391	27.774	37.73298	-85.972171                                                                                              
515	21140	Elkhart-Goshen, IN Metro Area	1	1199580232	12457801	463.161	4.81	41.600693	-85.863986                                                                                                         
236	21300	Elmira, NY Metro Area	1	1054988422	8875327	407.333	3.427	42.148697	-76.752471                                                                                                                 
238	21340	El Paso, TX Metro Area	1	14461869807	7512086	5583.759	2.9	31.527394	-105.521333                                                                                                               
240	21500	Erie, PA Metro Area	1	2069174742	1966242081	798.913	759.17	42.117952	-80.096386                                                                                                               
106	21580	Española, NM Micro Area	2	15179593238	91463246	5860.874	35.314	36.509669	-106.693983                                                                                                          
390	21900	Fairmont, WV Micro Area	2	799667746	7160908	308.753	2.765	39.505839	-80.243402                                                                                                                
244	22020	Fargo, ND-MN Metro Area	1	7278152555	26752592	2810.111	10.329	46.914859	-96.960183                                                                                                            
378	22060	Faribault-Northfield, MN Micro Area	2	1284218947	52062452	495.84	20.101	44.350775	-93.298513                                                                                                  
476	22100	Farmington, MO Micro Area	2	1170380017	7218075	451.886	2.787	37.810707	-90.473868                                                                                                             
246	22180	Fayetteville, NC Metro Area	1	4241474824	35580114	1637.643	13.738	35.155986	-78.93185                                                                                                         
456	22280	Fernley, NV Micro Area	2	5187939862	59489121	2003.075	22.969	39.022213	-119.197425                                                                                                            
534	22300	Findlay, OH Micro Area	2	1376124980	6021322	531.325	2.325	41.000217	-83.665947                                                                                                                
220	22420	Flint, MI Metro Area	1	1649671695	32751002	636.942	12.645	43.021077	-83.706372                                                                                                                
368	22620	Forrest City, AR Micro Area	2	1644082981	20017606	634.784	7.729	35.022838	-90.751506                                                                                                          
161	22800	Fort Madison-Keokuk, IA-IL-MO Micro Area	2	4703171976	127526105	1815.905	49.238	40.478345	-91.409363                                                                                          
497	22840	Fort Payne, AL Micro Area	2	2012620262	4107136	777.077	1.586	34.460915	-85.804021                                                                                                             
217	22860	Fort Polk South, LA Micro Area	2	3436185697	35140846	1326.719	13.568	31.102841	-93.18833                                                                                                      
258	23060	Fort Wayne, IN Metro Area	1	2571518283	13130160	992.869	5.07	41.113116	-85.217705                                                                                                             
320	23140	Frankfort, IN Micro Area	2	1049119194	461117	405.067	0.178	40.305944	-86.477567                                                                                                               
336	23180	Frankfort, KY Micro Area	2	1061924384	16259471	410.011	6.278	38.121449	-84.933167                                                                                                             
314	23240	Fredericksburg, TX Micro Area	2	2740731305	9000601	1058.202	3.475	30.325093	-98.94185                                                                                                         
466	23300	Freeport, IL Micro Area	2	1461392061	1350223	564.247	0.521	42.349726	-89.665994                                                                                                               
420	23340	Fremont, NE Micro Area	2	1370277209	36091675	529.067	13.935	41.577008	-96.645852                                                                                                              
534	23380	Fremont, OH Micro Area	2	1057351022	24514231	408.246	9.465	41.355319	-83.142776                                                                                                               
260	23420	Fresno, CA Metro Area	1	15432139292	136609893	5958.383	52.745	36.761006	-119.655019                                                                                                           
273	23500	Gaffney, SC Micro Area	2	1017770812	11691708	392.964	4.514	35.049796	-81.607647                                                                                                               
264	23540	Gainesville, FL Metro Area	1	6069771832	1480054195	2343.552	571.452	29.453355	-82.666257                                                                                                      
122	23580	Gainesville, GA Metro Area	1	1017833590	93989123	392.988	36.289	34.317569	-83.8185                                                                                                            
206	23620	Gainesville, TX Micro Area	2	2265789885	61319327	874.826	23.676	33.639196	-97.210343                                                                                                          
456	23820	Gardnerville Ranchos, NV Micro Area	2	1840147662	72317573	710.485	27.922	38.905129	-119.609019                                                                                                
396	23860	Georgetown, SC Micro Area	2	2107246447	572958789	813.612	221.221	33.417531	-79.296333                                                                                                         
276	23900	Gettysburg, PA Metro Area	1	1343400759	7771555	518.69	3.001	39.869471	-77.21773                                                                                                               
150	23980	Glasgow, KY Micro Area	2	2013005568	36166062	777.226	13.964	36.967571	-85.815497                                                                                                              
104	24020	Glens Falls, NY Metro Area	1	4398796004	204881933	1698.385	79.105	43.44045	-73.636757                                                                                                         
233	24060	Glenwood Springs, CO Micro Area	2	10147912172	28169202	3918.131	10.876	39.509542	-107.667311                                                                                                  
104	24100	Gloversville, NY Micro Area	2	1283234687	96916403	495.46	37.42	43.115609	-74.423678                                                                                                           
206	24180	Granbury, TX Micro Area	2	1089582268	41775455	420.69	16.13	32.430149	-97.831677                                                                                                               
266	24340	Grand Rapids-Kentwood, MI Metro Area	1	6964733301	2887959319	2689.099	1115.047	43.037598	-85.778167                                                                                           
366	24420	Grants Pass, OR Metro Area	1	4244080762	5631773	1638.649	2.174	42.386983	-123.57162                                                                                                           
216	24540	Greeley, CO Metro Area	1	10320950482	82372144	3984.941	31.804	40.555961	-104.383666                                                                                                           
267	24580	Green Bay, WI Metro Area	1	4843347536	2535185676	1870.027	978.841	44.474024	-87.99613                                                                                                         
268	24660	Greensboro-High Point, NC Metro Area	1	5164178478	68528137	1993.901	26.459	36.025204	-79.792633                                                                                               
294	24700	Greensburg, IN Micro Area	2	964946132	1955432	372.568	0.755	39.30598	-85.499831                                                                                                               
272	24780	Greenville, NC Metro Area	1	1689621009	8246941	652.366	3.184	35.59249	-77.372739                                                                                                              
212	24820	Greenville, OH Micro Area	2	1549077535	4244898	598.102	1.639	40.131467	-84.621191                                                                                                             
273	24860	Greenville-Anderson, SC Metro Area	1	7017824112	200533363	2709.597	77.426	34.683709	-82.413423                                                                                                
273	24940	Greenwood, SC Micro Area	2	1180009081	21260069	455.604	8.209	34.155796	-82.127876                                                                                                             
490	25020	Guayama, PR Metro Area	1	328029519	235725857	126.653	91.014	17.979155	-66.069473                                                                                                              
548	25180	Hagerstown-Martinsburg, MD-WV Metro Area	1	2610655713	27283136	1007.98	10.534	39.554433	-77.984594                                                                                            
406	25220	Hammond, LA Metro Area	1	2049124442	136690438	791.171	52.776	30.621348	-90.40649                                                                                                              
260	25260	Hanford-Corcoran, CA Metro Area	1	3602601923	3164290	1390.972	1.222	36.072478	-119.81553                                                                                                      
448	25300	Hannibal, MO Micro Area	2	2348366328	55494823	906.709	21.427	39.664115	-91.579179                                                                                                             
276	25420	Harrisburg-Carlisle, PA Metro Area	1	4200440520	109311464	1621.799	42.205	40.335915	-77.05049                                                                                                 
277	25500	Harrisonburg, VA Metro Area	1	2245852970	10777837	867.129	4.161	38.507585	-78.885321                                                                                                          
278	25540	Hartford-East Hartford-Middletown, CT Metro Area	1	3922769168	238848635	1514.59	92.22	41.71865	-72.573919                                                                                     
279	25620	Hattiesburg, MS Metro Area	1	5241389920	30186739	2023.712	11.655	31.273766	-89.300634                                                                                                         
482	25720	Heber, UT Micro Area	2	7893229094	105745494	3047.593	40.829	40.699219	-111.020425                                                                                                             
450	25780	Henderson, NC Micro Area	2	653701481	42190675	252.396	16.29	36.365481	-78.405434                                                                                                              
496	25980	Hinesville, GA Metro Area	1	2374660669	231746810	916.862	89.478	31.778788	-81.57648                                                                                                           
266	26090	Holland, MI Micro Area	2	2137395679	2610802947	825.253	1008.037	42.421251	-86.261403                                                                                                          
284	26300	Hot Springs, AR Metro Area	1	1755088398	147363106	677.643	56.897	34.578852	-93.146932                                                                                                         
288	26420	Houston-The Woodlands-Sugar Land, TX Metro Area	1	21415829912	3043591049	8268.699	1175.137	29.749593	-95.353642                                                                               
104	26460	Hudson, NY Micro Area	2	1643770717	35071400	634.663	13.541	42.247696	-73.626718                                                                                                               
107	26500	Huntingdon, PA Micro Area	2	2265337347	37851956	874.652	14.615	40.422311	-77.968595                                                                                                           
258	26540	Huntington, IN Micro Area	2	991056717	13133683	382.649	5.071	40.826394	-85.478597                                                                                                             
170	26580	Huntington-Ashland, WV-KY-OH Metro Area	1	6474779352	94403194	2499.926	36.449	38.406577	-82.542646                                                                                            
290	26620	Huntsville, AL Metro Area	1	3526433514	151096624	1361.564	58.339	34.783262	-86.734871                                                                                                         
288	26660	Huntsville, TX Micro Area	2	2031126325	44745757	784.222	17.276	30.743163	-95.569825                                                                                                           
378	26780	Hutchinson, MN Micro Area	2	1273004836	36432583	491.51	14.067	44.821657	-94.272323                                                                                                            
292	26820	Idaho Falls, ID Metro Area	1	13457965477	125282132	5196.15	48.372	43.620423	-112.420919                                                                                                       
430	26860	Indiana, PA Micro Area	2	2142965919	18089072	827.404	6.984	40.651432	-79.087545                                                                                                               
294	26900	Indianapolis-Carmel-Anderson, IN Metro Area	1	11153925918	88449884	4306.555	34.151	39.74867	-86.212382                                                                                        
185	26940	Indianola, MS Micro Area	2	1807187011	23747316	697.759	9.169	33.605529	-90.59509                                                                                                              
168	26980	Iowa City, IA Metro Area	1	3060920551	31403661	1181.828	12.125	41.517806	-91.64793                                                                                                            
361	27020	Iron Mountain, MI-WI Micro Area	2	3235077589	64617589	1249.07	24.949	45.947705	-88.08097                                                                                                      
